2025-01-23 00:49:42,196 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:49:42,214 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 00:49:42,255 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 00:49:42,270 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 00:50:56,262 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 00:50:56,287 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:50:56,307 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 00:50:56,321 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 00:50:56,338 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 00:51:06,867 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 00:51:06,877 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:51:06,882 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 00:51:06,894 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 00:51:06,901 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 00:51:12,929 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:51:14,508 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 00:51:15,909 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 00:51:19,803 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:51:19,814 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:51:19,827 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:51:19,844 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:51:19,853 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:53:00,218 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:53:00,229 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
