2025-01-27 17:10:02,624 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-27 17:10:02,629 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-27 17:10:03,548 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001
2025-01-27 17:10:04,636 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: banners, Site: 5001
2025-01-27 17:10:04,642 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001
2025-01-27 17:10:04,654 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: notifications, Site: 5001
2025-01-27 17:10:04,662 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: adslots, Site: 5001
2025-01-27 17:10:04,668 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: invisible, Site: 5001
2025-01-27 17:11:20,187 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: cart, Component: banners, Site: 5001
2025-01-27 17:11:20,194 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001
2025-01-27 17:11:20,200 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: notifications, Site: 5001
2025-01-27 17:11:20,207 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001
2025-01-27 17:11:20,212 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: invisible, Site: 5001
2025-01-27 17:11:27,772 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001
2025-01-27 17:11:29,339 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-27 17:11:29,344 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: popups, Site: 5001
