2025-01-11 21:41:46,550 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653306549, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,555 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653306553, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,558 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653306557, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,723 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653306719, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,730 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653306728, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,736 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653306733, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,741 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653306739, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,744 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653306743, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,900 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653306898, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,907 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653306904, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,912 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653306910, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,917 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653306915, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,920 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653306919, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,077 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653307074, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,082 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653307079, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,086 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653307084, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,092 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653307089, Type: adslot, Source: product, Component: scam, Site: 5001
