2025-01-23 21:52:11,453 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001
2025-01-23 21:52:11,460 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:52:11,470 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 21:52:11,477 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-23 21:52:11,482 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-23 21:52:12,545 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:52:13,500 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: cart, Component: banners, Site: 5001
2025-01-23 21:52:13,506 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 21:52:13,513 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: notifications, Site: 5001
2025-01-23 21:52:13,519 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: cart, Component: adslots, Site: 5001
2025-01-23 21:52:13,524 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: cart, Component: invisible, Site: 5001
2025-01-23 21:52:15,160 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 21:52:17,950 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 21:52:17,958 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:52:17,963 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:52:17,972 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 21:52:17,978 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 21:52:19,780 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:52:22,347 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 21:52:22,356 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:52:22,363 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:52:22,371 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 21:52:22,376 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 21:52:23,646 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
