2025-01-21 15:03:32,213 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500612208, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,226 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500612222, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,235 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500612233, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,242 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500612239, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,246 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500612244, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,473 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500612468, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,483 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500612480, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,490 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500612487, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,499 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500612496, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,503 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500612501, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,715 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500612711, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,723 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500612720, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,728 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500612727, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,735 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500612732, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,738 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500612737, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,908 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500612905, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,921 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500612917, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,929 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500612927, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,939 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500612935, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:32,944 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500612942, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,102 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500613099, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,108 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500613106, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,114 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500613112, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,123 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500613120, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,127 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500613124, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,297 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500613293, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,304 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500613302, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,312 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500613310, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,319 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500613317, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,323 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500613321, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,506 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500613503, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,516 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500613514, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,522 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500613521, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,530 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500613528, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,535 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500613534, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,691 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500613688, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,698 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500613696, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,703 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500613701, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,709 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500613706, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,711 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500613710, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,882 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500613878, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,889 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500613887, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,896 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500613894, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,903 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500613900, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:33,908 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500613906, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,090 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500614087, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,100 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500614096, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,110 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500614107, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,118 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500614115, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,122 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500614120, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,253 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500614249, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,260 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500614257, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,267 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500614265, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,276 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500614272, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,281 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500614279, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,699 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500614696, Type: banner, Source: benign, Component: scam, Site: 5001
